Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:P10UDT0LV-P10ULV1)           ,P10UDT0LV    ,P10ULV1     ,0.42  ,0.012  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00998 ,0.00121 ,0.65359    ,0.02430 ,0.01504  ,0.03007  ,115 ,1 ,CA  ,CA_LV  ,2_LV_66.3953 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT250  ,
L(R:P10UDT0LV-P10ULV2)           ,P10UDT0LV    ,P10ULV2     ,0.42  ,0.012  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00998 ,0.00121 ,0.65359    ,0.02430 ,0.01504  ,0.03007  ,115 ,1 ,CA  ,CA_LV  ,2_LV_66.3953 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT250  ,
L(R:P10UDM2-P10ULV3)             ,P10UDM2      ,P10ULV3     ,0.42  ,0.003  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00211 ,0.00026 ,0.13854    ,0.00515 ,0.00319  ,0.00637  ,115 ,1 ,BC  ,BC_LV  ,2_LV_66.3953 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
L(R:P10UDM6-P10ULV63)            ,P10UDM6      ,P10ULV63    ,0.42  ,0.004  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00308 ,0.00038 ,0.20205    ,0.00751 ,0.00465  ,0.00930  ,115 ,1 ,BC  ,BC_LV  ,2_LV_66.3953 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
L(R:P10UDM2-P10UDM6)             ,P10UDM2      ,P10UDM6     ,0.42  ,0.028  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02323 ,0.00283 ,1.52187    ,0.05657 ,0.03501  ,0.07002  ,115 ,1 ,BC  ,BC_LV  ,2_LV_66.3953 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
L(R:P10UDM2-P10UDT1LV)           ,P10UDT1LV    ,P10UDM2     ,0.42  ,0.052  ,1P_OH_CU_4_Ionic_0_416_0               ,0.04290 ,0.00522 ,2.81046    ,0.10447 ,0.06465  ,0.12931  ,115 ,1 ,BC  ,BC_LV  ,2_LV_66.3953 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
L(R:P10UDM3-P10ULV8)             ,P10UDM3      ,P10ULV8     ,0.42  ,0.041  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02212 ,0.00411 ,2.16165    ,0.06810 ,0.05285  ,0.10570  ,205 ,1 ,BC  ,BC_LV  ,2_LV_118.357 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
L(R:P10UDM3-P10UDT1LV)           ,P10UDT1LV    ,P10UDM3     ,0.42  ,0.046  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02472 ,0.00459 ,2.41557    ,0.07609 ,0.05906  ,0.11811  ,205 ,1 ,BC  ,BC_LV  ,2_LV_118.357 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
L(R:P10UDM7-P10ULV73)            ,P10UDM7      ,P10ULV73    ,0.42  ,0.007  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00362 ,0.00067 ,0.35359    ,0.01114 ,0.00864  ,0.01729  ,205 ,1 ,BC  ,BC_LV  ,2_LV_118.357 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
L(R:P10UDM4-P10ULV13)            ,P10UDM4      ,P10ULV13    ,0.42  ,0.004  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00201 ,0.00037 ,0.19594    ,0.00617 ,0.00479  ,0.00958  ,205 ,1 ,BC  ,BC_LV  ,2_LV_118.357 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
