Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P10ULV1     ,2 ,0.42  ,0.75    ,0.15   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT250  ,1.88    ,0.38   ,6969.30    ,1  ,
P10ULV2     ,2 ,0.42  ,1.06    ,0.22   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT250  ,2.65    ,0.54   ,9823.57    ,1  ,
P10ULV3     ,2 ,0.42  ,1.72    ,0.35   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,4.29    ,0.87   ,16166.52   ,1  ,
P10ULV4     ,2 ,0.42  ,1.37    ,0.28   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,3.43    ,0.70   ,12916.66   ,1  ,
P10ULV5     ,3 ,0.42  ,1.87    ,0.38   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT19   ,4.68    ,0.95   ,17629.22   ,1  ,
P10ULV6     ,2 ,0.42  ,1.79    ,0.36   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,4.47    ,0.91   ,16844.47   ,1  ,
P10ULV7     ,2 ,0.42  ,0.67    ,0.14   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,1.68    ,0.34   ,6578.41    ,1  ,
P10ULV8     ,2 ,0.42  ,2.39    ,0.49   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,5.98    ,1.21   ,22536.08   ,2  ,
P10ULV9     ,2 ,0.42  ,1.58    ,0.32   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,3.96    ,0.80   ,14921.40   ,1  ,
P10ULV10    ,2 ,0.42  ,1.72    ,0.35   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,4.31    ,0.87   ,16235.05   ,1  ,
P10ULV11    ,3 ,0.42  ,2.18    ,0.44   ,P10UHS2_1247 ,P10UHS2_1247 -> P10UDT1066 ,5.46    ,1.11   ,20238.31   ,1  ,
P10ULV12    ,2 ,0.42  ,2.22    ,0.45   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,5.56    ,1.13   ,20963.44   ,1  ,
P10ULV13    ,2 ,0.42  ,2.36    ,0.48   ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,5.89    ,1.20   ,22205.94   ,2  ,
