Node,OH,
SM1      ,A ,
SM2      ,A ,
SM3      ,A ,
SM4      ,A ,
SM5      ,A ,
SM6      ,A ,
SM7      ,A ,
SM8      ,A ,
SM9      ,A ,
SM10     ,A ,
SM11     ,A ,
SM12     ,A ,
SM13     ,A ,
SM14     ,A ,
SM15     ,A ,
SM16     ,A ,
SM17     ,A ,
SM18     ,A ,
SM19     ,A ,
SM20     ,A ,
SM21     ,A ,
SM22     ,A ,
SM23     ,A ,
SM24     ,A ,
SM25     ,A ,
SM26     ,A ,
SM27     ,A ,
SM28     ,A ,
SM29     ,A ,
SM31     ,A ,
SM32     ,A ,
SM33     ,A ,
SM34     ,A ,
SM35     ,A ,
SM36     ,A ,
SM37     ,A ,
SM38     ,A ,
SM39     ,A ,
SM40     ,A ,
SM41     ,A ,
SM42     ,A ,
SM43     ,A ,
SM44     ,A ,
SM45     ,A ,
SM46     ,A ,
SM47     ,A ,
SM48     ,A ,
SM49     ,A ,
SM50     ,A ,
SM51     ,A ,
SM52     ,A ,
SM53     ,A ,
SM54     ,A ,
SM55     ,A ,
SM56     ,A ,
SM57     ,A ,
SM58     ,A ,
SM59     ,A ,
SM60     ,A ,
SM61     ,A ,
SM62     ,A ,
SM63     ,A ,
SM64     ,A ,
SM65     ,A ,
SM66     ,A ,
SM67     ,A ,
SM68     ,A ,
SM69     ,A ,
SM70     ,A ,
SM72     ,A ,
SM73     ,A ,
SM74     ,A ,
SM75     ,A ,
SM77     ,A ,
SM78     ,A ,
SM79     ,A ,
SM80     ,A ,
SM81     ,A ,
SM82     ,A ,
SM83     ,A ,
SM84     ,A ,
SM86     ,A ,
SM87     ,A ,
SM88     ,A ,
SM90     ,A ,
SM91     ,A ,
SM92     ,A ,
SM93     ,A ,
SM94     ,A ,
SM95     ,A ,
SM96     ,A ,
SM98     ,A ,
SM99     ,A ,
SM100    ,A ,
SM101    ,A ,
SM102    ,A ,
SM103    ,A ,
SM104    ,A ,
SM105    ,A ,
SM106    ,A ,
SM107    ,A ,
SM108    ,A ,
SM111    ,A ,
SM112    ,A ,
SM113    ,A ,
SM114    ,A ,
SM115    ,A ,
SM117    ,A ,
SM118    ,A ,
SM119    ,A ,
SM120    ,A ,
SM122    ,A ,
SM124    ,A ,
SM126    ,A ,
SM127    ,A ,
SM128    ,A ,
SM129    ,A ,
SM130    ,A ,
SM132    ,A ,
SM133    ,A ,
SM134    ,A ,
SM135    ,A ,
SM136    ,A ,
SM137    ,A ,
SM138    ,A ,
SM139    ,A ,
SM140    ,A ,
SM141    ,A ,
SM142    ,A ,
SM143    ,A ,
SM144    ,A ,
SM145    ,A ,
SM146    ,A ,
SM147    ,A ,
SM148    ,A ,
SM149    ,A ,
SM150    ,A ,
SM151    ,A ,
SM152    ,A ,
SM153    ,A ,
SM154    ,A ,
SM156    ,A ,
SM157    ,A ,
SM158    ,A ,
SM159    ,A ,
SM160    ,A ,
SM161    ,A ,
SM163    ,A ,
SM165    ,A ,
SM167    ,A ,
SM168    ,A ,
SM169    ,A ,
SM170    ,A ,
SM171    ,A ,
SM172    ,A ,
SM174    ,A ,
SM175    ,A ,
SM176    ,A ,
SM177    ,A ,
SM178    ,A ,
SM179    ,A ,
SM181    ,A ,
SM182    ,A ,
SM183    ,A ,
SM184    ,A ,
SM185    ,A ,
SM186    ,A ,
SM187    ,A ,
SM188    ,A ,
SM189    ,A ,
SM190    ,A ,
SM191    ,A ,
SM192    ,A ,
SM193    ,A ,
SM194    ,A ,
SM195    ,A ,
SM196    ,A ,
SM197    ,A ,
SM198    ,A ,
SM199    ,A ,
SM200    ,A ,
SM201    ,A ,
SM202    ,A ,
SM203    ,A ,
SM204    ,A ,
SM205    ,A ,
SM206    ,A ,
SM207    ,A ,
SM208    ,A ,
SM209    ,A ,
SM210    ,A ,
SM211    ,A ,
SM212    ,A ,
SM213    ,A ,
SM215    ,A ,
SM216    ,A ,
SM217    ,A ,
SM218    ,A ,
SM219    ,A ,
SM221    ,A ,
SM222    ,A ,
SM223    ,A ,
SM224    ,A ,
SM225    ,A ,
SM226    ,A ,
SM227    ,A ,
SM228    ,A ,
SM229    ,A ,
SM230    ,A ,
SM231    ,A ,
SM232    ,A ,
SM233    ,A ,
SM234    ,A ,
SM235    ,A ,
SM236    ,A ,
SM237    ,A ,
SM238    ,A ,
SM239    ,A ,
SM240    ,A ,
SM241    ,A ,
SM242    ,A ,
SM243    ,A ,
SM244    ,A ,
SM245    ,A ,
SM246    ,A ,
SM247    ,A ,
SM248    ,A ,
SM249    ,A ,
SM250    ,A ,
SM251    ,A ,
SM252    ,A ,
SM253    ,A ,
SM254    ,A ,
SM255    ,A ,
SM256    ,A ,
SM257    ,A ,
SM258    ,A ,
SM259    ,A ,
SM260    ,A ,
SM261    ,A ,
SM262    ,A ,
SM263    ,A ,
SM264    ,A ,
SM265    ,A ,
SM266    ,A ,
SM267    ,A ,
SM268    ,A ,
SM269    ,A ,
SM270    ,A ,
SM271    ,A ,
SM272    ,A ,
SM273    ,A ,
SM274    ,A ,
SM275    ,A ,
SM276    ,A ,
SM277    ,A ,
SM278    ,A ,
SM279    ,A ,
SM280    ,A ,
SM281    ,A ,
SM282    ,A ,
SM283    ,A ,
SM284    ,A ,
SM285    ,A ,
SM286    ,A ,
SM287    ,A ,
SM288    ,A ,
SM289    ,A ,
SM290    ,A ,
SM291    ,A ,
SM292    ,A ,
SM293    ,A ,
SM294    ,A ,
SM295    ,A ,
SM296    ,A ,
SM297    ,A ,
SM298    ,A ,
SM299    ,A ,
SM300    ,A ,
SM301    ,A ,
SM302    ,A ,
SM303    ,A ,
SM304    ,A ,
SM305    ,A ,
SM306    ,A ,
SM307    ,A ,
SM308    ,A ,
SM309    ,A ,
SM310    ,A ,
SM311    ,A ,
SM312    ,A ,
SM313    ,A ,
SM314    ,A ,
SM315    ,A ,
SM316    ,A ,
SM317    ,A ,
SM318    ,A ,
SM319    ,A ,
SM320    ,A ,
SM321    ,A ,
SM322    ,S ,
SM323    ,A ,
SM324    ,S ,
SM325    ,A ,
SM326    ,S ,
SM327    ,A ,
SM328    ,S ,
SM329    ,A ,
SM330    ,S ,
SM331    ,A ,
SM332    ,A ,
SM333    ,S ,
SM334    ,A ,
SM335    ,A ,
SM336    ,S ,
SM337    ,A ,
SM338    ,A ,
SM339    ,S ,
SM340    ,A ,
SM341    ,S ,
SM342    ,S ,
SM343    ,S ,
SM344    ,A ,
SM345    ,A ,
SM346    ,A ,
SM347    ,S ,
SM348    ,A ,
SM349    ,S ,
SM350    ,A ,
SM351    ,A ,
SM352    ,S ,
SM353    ,S ,
SM354    ,A ,
SM355    ,A ,
SM356    ,A ,
SM357    ,S ,
SM358    ,S ,
SM359    ,A ,
SM360    ,A ,
SM361    ,A ,
SM362    ,A ,
SM363    ,S ,
SM364    ,A ,
SM365    ,A ,
SM366    ,S ,
SM367    ,S ,
SM368    ,A ,
SM369    ,A ,
SM370    ,A ,
SM371    ,S ,
SM372    ,A ,
SM373    ,S ,
SM374    ,A ,
SM375    ,A ,
SM376    ,A ,
SM377    ,S ,
SM378    ,A ,
SM379    ,A ,
SM380    ,S ,
SM381    ,A ,
SM382    ,S ,
SM383    ,A ,
SM384    ,A ,
SM385    ,S ,
SM386    ,A ,
SM387    ,A ,
SM388    ,A ,
SM389    ,A ,
SM390    ,S ,
SM391    ,A ,
SM392    ,A ,
SM393    ,A ,
SM394    ,S ,
SM395    ,S ,
SM396    ,A ,
SM397    ,S ,
SM398    ,A ,
SM399    ,A ,
SM400    ,A ,
SM401    ,A ,
SM402    ,A ,
SM403    ,S ,
SM404    ,A ,
SM405    ,S ,
SM406    ,A ,
SM407    ,A ,
SM408    ,A ,
SM409    ,A ,
SM410    ,S ,
SM411    ,A ,
SM412    ,S ,
SM413    ,A ,
SM414    ,A ,
SM415    ,A ,
SM416    ,A ,
SM417    ,S ,
SM418    ,A ,
SM419    ,S ,
SM420    ,A ,
SM421    ,A ,
SM422    ,S ,
SM423    ,A ,
SM424    ,A ,
SM425    ,S ,
SM426    ,A ,
SM427    ,A ,
SM428    ,S ,
SM429    ,A ,
SM430    ,A ,
SM431    ,A ,
SM432    ,S ,
SM433    ,A ,
SM434    ,S ,
SM435    ,A ,
SM436    ,A ,
SM437    ,A ,
SM438    ,A ,
SM439    ,S ,
SM440    ,A ,
SM441    ,S ,
SM442    ,A ,
SM443    ,A ,
SM444    ,A ,
SM445    ,S ,
SM446    ,S ,
SM447    ,A ,
SM448    ,A ,
SM449    ,A ,
SM450    ,S ,
SM451    ,S ,
SM452    ,A ,
SM453    ,S ,
SM454    ,A ,
SM455    ,A ,
SM456    ,A ,
SM457    ,S ,
SM458    ,A ,
SM459    ,A ,
SM460    ,A ,
SM461    ,A ,
SM462    ,A ,
SM463    ,A ,
SM464    ,A ,
SM465    ,A ,
SM466    ,A ,
SM467    ,A ,
SM468    ,A ,
SM469    ,A ,
SM470    ,A ,
SM471    ,A ,
SM472    ,A ,
SM473    ,A ,
SM474    ,A ,
SM475    ,A ,
SM476    ,A ,
SM477    ,A ,
SM478    ,A ,
SM479    ,A ,
SM480    ,A ,
SM481    ,A ,
SM482    ,S ,
SM483    ,A ,
SM484    ,A ,
SM485    ,A ,
SM486    ,A ,
SM487    ,A ,
SM488    ,A ,
SM489    ,A ,
SM490    ,S ,
SM491    ,A ,
SM492    ,A ,
SM493    ,A ,
SM494    ,S ,
SM495    ,A ,
SM496    ,A ,
SM497    ,A ,
SM498    ,A ,
SM499    ,A ,
SM500    ,S ,
SM501    ,A ,
SM502    ,A ,
SM503    ,A ,
SM504    ,A ,
SM505    ,S ,
SM506    ,S ,
SM507    ,S ,
SM508    ,A ,
SM509    ,S ,
SM510    ,A ,
SM511    ,S ,
SM512    ,S ,
SM513    ,S ,
SM514    ,S ,
SM515    ,A ,
SM516    ,A ,
SM517    ,S ,
SM518    ,A ,
SM519    ,A ,
SM520    ,A ,
SM521    ,A ,
SM522    ,A ,
SM523    ,A ,
SM524    ,A ,
SM525    ,A ,
SM526    ,A ,
SM527    ,A ,
SM528    ,A ,
SM529    ,A ,
SM530    ,A ,
SM531    ,A ,
SM532    ,S ,
SM533    ,A ,
SM534    ,A ,
SM535    ,A ,
SM536    ,A ,
SM537    ,A ,
SM538    ,S ,
SM539    ,A ,
SM540    ,A ,
SM541    ,A ,
SM542    ,A ,
SM543    ,A ,
SM544    ,S ,
SM545    ,A ,
SM546    ,A ,
SM547    ,A ,
SM548    ,A ,
SM549    ,A ,
SM550    ,A ,
SM551    ,A ,
SM552    ,S ,
SM553    ,A ,
SM554    ,A ,
SM555    ,S ,
SM556    ,A ,
SM557    ,S ,
SM558    ,A ,
SM559    ,A ,
SM560    ,A ,
SM561    ,A ,
SM562    ,A ,
SM563    ,A ,
SM564    ,A ,
SM565    ,A ,
SM566    ,A ,
SM567    ,A ,
SM568    ,A ,
SM569    ,A ,
SM570    ,A ,
SM571    ,A ,
SM572    ,A ,
SM573    ,S ,
SM574    ,A ,
SM575    ,A ,
SM576    ,A ,
SM577    ,S ,
SM578    ,A ,
SM579    ,S ,
SM580    ,A ,
SM581    ,A ,
SM582    ,A ,
SM583    ,A ,
SM584    ,A ,
SM585    ,A ,
SM586    ,A ,
SM587    ,A ,
SM588    ,A ,
SM589    ,A ,
SM590    ,A ,
SM591    ,A ,
SM592    ,S ,
SM593    ,A ,
SM594    ,A ,
SM595    ,A ,
SM596    ,A ,
SM597    ,A ,
SM598    ,A ,
SM599    ,S ,
SM600    ,S ,
SM601    ,A ,
SM602    ,A ,
SM603    ,S ,
SM604    ,A ,
SM605    ,A ,
SM606    ,A ,
SM607    ,A ,
SM608    ,A ,
SM609    ,A ,
SM610    ,A ,
SM611    ,A ,
SM612    ,A ,
SM613    ,A ,
SM614    ,A ,
SM615    ,A ,
SM616    ,S ,
SM617    ,A ,
SM618    ,A ,
SM619    ,A ,
SM620    ,A ,
SM621    ,A ,
SM622    ,S ,
SM623    ,S ,
SM624    ,A ,
SM625    ,S ,
SM626    ,A ,
SM627    ,A ,
SM628    ,A ,
SM629    ,A ,
SM630    ,A ,
SM631    ,A ,
SM632    ,A ,
SM633    ,A ,
SM634    ,A ,
SM635    ,A ,
SM636    ,A ,
SM637    ,A ,
SM638    ,A ,
SM639    ,A ,
SM640    ,A ,
SM641    ,S ,
SM642    ,A ,
SM643    ,S ,
SM644    ,S ,
SM645    ,A ,
SM646    ,S ,
SM647    ,A ,
SM648    ,A ,
SM649    ,S ,
SM650    ,S ,
SM651    ,A ,
SM652    ,A ,
SM653    ,S ,
SM654    ,S ,
SM655    ,S ,
SM656    ,A ,
SM657    ,S ,
SM658    ,A ,
SM659    ,A ,
SM660    ,S ,
SM661    ,S ,
SM662    ,S ,
SM663    ,A ,
SM664    ,S ,
SM665    ,A ,
SM666    ,A ,
SM667    ,A ,
SM668    ,S ,
SM669    ,S ,
SM670    ,S ,
SM671    ,A ,
SM672    ,S ,
SM673    ,A ,
SM674    ,A ,
SM675    ,A ,
SM676    ,S ,
SM677    ,S ,
SM678    ,A ,
SM679    ,S ,
SM680    ,S ,
SM681    ,A ,
SM682    ,A ,
SM683    ,A ,
SM684    ,S ,
SM685    ,A ,
SM686    ,A ,
SM687    ,S ,
SM688    ,S ,
SM689    ,A ,
SM690    ,A ,
SM691    ,S ,
SM692    ,A ,
SM693    ,A ,
SM694    ,S ,
SM695    ,S ,
SM696    ,A ,
SM697    ,A ,
SM698    ,S ,
SM699    ,S ,
SM700    ,A ,
SM701    ,A ,
SM702    ,S ,
SM703    ,A ,
SM704    ,A ,
SM705    ,S ,
SM706    ,A ,
SM707    ,S ,
SM708    ,A ,
SM709    ,S ,
