Node,Subest,Feeder,
ST_MAT       ,True        ,True                      ,
P3UDM2       ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8456  ,
P3UDM3       ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8456  ,
P3UDM6       ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8456  ,
P3UDM7       ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8456  ,
P3UDM9       ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT1318  ,
P3UDM10      ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT1318  ,
P3UDM13      ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT1318  ,
P3UDM15      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDM16      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDM17      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDM21      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDM23      ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT3270  ,
P3UDM24      ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT3270  ,
P3UDM26      ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT3270  ,
P3UDM27      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDM28      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDM29      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDM31      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDM32      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDM33      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDM36      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDM37      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDM38      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDM39      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDM42      ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10664 ,
P3UDM45      ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10664 ,
P3UDM48      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDM49      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDM50      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT85    ,
P3UDM52      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT85    ,
P3UDM53      ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT85    ,
