Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P3UMV2     ,P3UC0  ,3 ,12.47 ,600.00 ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDT516   ,P3UC1  ,3 ,12.47 ,450.00 ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT85    ,
P3UDT963   ,P3UC2  ,3 ,12.47 ,450.00 ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UDT1528  ,P3UC3  ,3 ,12.47 ,450.00 ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,
P3UDT195   ,P3UC4  ,3 ,12.47 ,450.00 ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT85    ,
P3UDT1562  ,P3UC5  ,3 ,12.47 ,450.00 ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,
P3UMV17    ,P3UC6  ,3 ,12.47 ,600.00 ,P3UHS1_1247 ,P3UHS1_1247 -> P3UDT5723  ,
P3UDT7142  ,P3UC7  ,3 ,12.47 ,450.00 ,P3UHS1_1247 ,P3UHS1_1247 -> P3UDT5723  ,
P3UDT3104  ,P3UC8  ,3 ,12.47 ,300.00 ,P3UHS1_1247 ,P3UHS1_1247 -> P3UDT5729  ,
P3UDT8138  ,P3UC9  ,3 ,12.47 ,300.00 ,P3UHS1_1247 ,P3UHS1_1247 -> P3UDT5729  ,
P3UDT11896 ,P3UC10 ,3 ,12.47 ,300.00 ,P3UHS1_1247 ,P3UHS1_1247 -> P3UDT5723  ,
P3UDT4739  ,P3UC11 ,3 ,12.47 ,600.00 ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10253 ,
P3UDT8447  ,P3UC12 ,3 ,12.47 ,450.00 ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10664 ,
P3UDT4886  ,P3UC13 ,3 ,12.47 ,450.00 ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10578 ,
P3UDT4831  ,P3UC14 ,3 ,12.47 ,450.00 ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10253 ,
P3UDT8633  ,P3UC15 ,3 ,12.47 ,450.00 ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10253 ,
P3UDT10772 ,P3UC16 ,3 ,12.47 ,450.00 ,P3UHS3_1247 ,P3UHS3_1247 -> P3UDT2549  ,
P3UDT2430  ,P3UC17 ,3 ,12.47 ,450.00 ,P3UHS3_1247 ,P3UHS3_1247 -> P3UDT2071  ,
P3UDT5122  ,P3UC18 ,3 ,12.47 ,450.00 ,P3UHS3_1247 ,P3UHS3_1247 -> P3UDT2520  ,
P3UDT8875  ,P3UC19 ,3 ,12.47 ,450.00 ,P3UHS3_1247 ,P3UHS3_1247 -> P3UDT2549  ,
P3UMV8     ,P3UC20 ,3 ,12.47 ,450.00 ,P3UHS3_1247 ,P3UHS3_1247 -> P3UDT2520  ,
