Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P3ULV1      ,1 ,0.42  ,2.00    ,0.41    ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8456  ,5.01     ,1.02    ,22264.79    ,1   ,
P3ULV2      ,1 ,0.42  ,5.88    ,1.19    ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT1318  ,14.70    ,2.99    ,65377.51    ,4   ,
P3ULV3      ,1 ,0.42  ,17.09   ,3.47    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,42.72    ,8.67    ,189921.20   ,10  ,
P3ULV4      ,1 ,0.42  ,11.43   ,2.32    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,28.57    ,5.80    ,109447.60   ,1   ,
P3ULV5      ,1 ,0.42  ,6.30    ,1.28    ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT3270  ,15.74    ,3.20    ,69984.34    ,4   ,
P3ULV6      ,1 ,0.42  ,1.40    ,0.28    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,3.49     ,0.71    ,13160.82    ,1   ,
P3ULV7      ,1 ,0.42  ,0.42    ,0.14    ,P3UHS4_1247 ,P3UHS4_1247 -> P3UDT11223 ,1.05     ,0.35    ,3507.80     ,1   ,
P3ULV8      ,1 ,0.42  ,5.96    ,1.21    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,14.91    ,3.03    ,66288.61    ,4   ,
P3ULV9      ,1 ,0.42  ,2.13    ,0.43    ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10664 ,5.31     ,1.08    ,20029.95    ,1   ,
P3ULV10     ,1 ,0.42  ,17.44   ,3.54    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT75    ,43.61    ,8.86    ,193907.90   ,11  ,
P3ULV11     ,1 ,0.42  ,2.30    ,0.47    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT85    ,5.76     ,1.17    ,21695.86    ,1   ,
P3ULV12     ,1 ,0.42  ,2.86    ,0.58    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,7.15     ,1.45    ,31811.57    ,2   ,
P3ULV13     ,1 ,0.42  ,4.93    ,1.00    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,12.32    ,2.50    ,54790.05    ,3   ,
P3ULV14     ,1 ,0.42  ,3.23    ,0.66    ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT11356 ,8.08     ,1.64    ,35919.75    ,2   ,
P3ULV15     ,1 ,0.42  ,0.76    ,0.15    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT85    ,1.89     ,0.38    ,8407.78     ,1   ,
P3ULV16     ,1 ,0.42  ,3.18    ,0.64    ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT3270  ,7.94     ,1.61    ,35305.94    ,2   ,
P3ULV17     ,1 ,0.42  ,3.02    ,0.61    ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT1318  ,7.56     ,1.54    ,28504.03    ,2   ,
P3ULV18     ,1 ,0.42  ,5.03    ,1.65    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT77    ,12.58    ,4.13    ,41951.28    ,1   ,
P3ULV19     ,1 ,0.42  ,1.05    ,0.21    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,2.63     ,0.53    ,9929.73     ,1   ,
P3ULV20     ,3 ,0.42  ,25.26   ,5.13    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,63.15    ,12.82   ,280767.70   ,19  ,
P3ULV21     ,1 ,0.42  ,1.64    ,0.33    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,4.09     ,0.83    ,15421.74    ,1   ,
P3ULV22     ,1 ,0.42  ,6.87    ,1.40    ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT1318  ,17.18    ,3.49    ,53649.72    ,1   ,
P3ULV23     ,1 ,0.42  ,1.50    ,0.30    ,P3UHS2_1247 ,P3UHS2_1247 -> P3UDT10664 ,3.74     ,0.76    ,14099.35    ,1   ,
P3ULV24     ,1 ,0.42  ,2.26    ,0.46    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,5.66     ,1.15    ,21319.77    ,1   ,
P3ULV25     ,1 ,0.42  ,8.06    ,1.64    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,20.16    ,4.09    ,89635.95    ,5   ,
P3ULV26     ,1 ,0.42  ,2.23    ,0.45    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,5.58     ,1.13    ,21044.79    ,1   ,
P3ULV27     ,1 ,0.42  ,1.79    ,0.36    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,4.49     ,0.91    ,16912.44    ,1   ,
P3ULV28     ,1 ,0.42  ,5.75    ,1.17    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,14.38    ,2.92    ,63933.66    ,4   ,
P3ULV29     ,1 ,0.42  ,4.12    ,0.84    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,10.31    ,2.09    ,45837.13    ,3   ,
P3ULV30     ,1 ,0.42  ,2.21    ,0.45    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,5.52     ,1.12    ,20821.61    ,1   ,
P3ULV31     ,1 ,0.42  ,6.65    ,1.35    ,P3UHS0_1247 ,P3UHS0_1247 -> P3UDT69    ,16.63    ,3.38    ,73926.04    ,4   ,
