Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:P1UDT0LV-P1ULV1)                 ,P1UDT0LV    ,P1ULV1    ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00496 ,0.00092 ,0.48512   ,0.01528 ,0.01186 ,0.03558 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDT0LV-P1ULV971)               ,P1UDT0LV    ,P1ULV971  ,0.42  ,0.011 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00568 ,0.00105 ,0.55521   ,0.01749 ,0.01357 ,0.04072 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDM3-P1ULV970)                 ,P1UDM3      ,P1ULV970  ,0.42  ,0.011 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00575 ,0.00107 ,0.56155   ,0.01769 ,0.01373 ,0.04119 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDM2-P1ULV969)                 ,P1UDM2      ,P1ULV969  ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00567 ,0.00105 ,0.55380   ,0.01745 ,0.01354 ,0.04062 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDM1-P1ULV968)                 ,P1UDM1      ,P1ULV968  ,0.42  ,0.011 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00577 ,0.00107 ,0.56345   ,0.01775 ,0.01378 ,0.04133 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDM1-P1ULV1413)                ,P1UDM1      ,P1ULV1413 ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00495 ,0.00092 ,0.48374   ,0.01524 ,0.01183 ,0.03548 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDM1-P1UDM2)                   ,P1UDM2      ,P1UDM1    ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00517 ,0.00096 ,0.50552   ,0.01592 ,0.01236 ,0.03708 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDM2-P1UDM3)                   ,P1UDM3      ,P1UDM2    ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00517 ,0.00096 ,0.50552   ,0.01592 ,0.01236 ,0.03708 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDM3-P1UDT0LV)                 ,P1UDT0LV    ,P1UDM3    ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00517 ,0.00096 ,0.50499   ,0.01591 ,0.01235 ,0.03704 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
L(R:P1UDM5-P1ULV972)                 ,P1UDM5      ,P1ULV972  ,0.42  ,0.011 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00578 ,0.00107 ,0.56503   ,0.01780 ,0.01381 ,0.04144 ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
