Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P2ULV1      ,1 ,0.42  ,3.77     ,0.77    ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,9.43     ,1.91     ,41923.16     ,2    ,
P2ULV2      ,3 ,0.42  ,41.43    ,13.62   ,P2UHS3_1247  ,P2UHS3_1247 -> P2UDT6694   ,103.58   ,34.04    ,345508.80    ,1    ,
P2ULV3      ,1 ,0.42  ,2.59     ,0.53    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,6.47     ,1.31     ,24385.19     ,2    ,
P2ULV4      ,3 ,0.42  ,101.08   ,33.22   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT3749   ,252.70   ,83.06    ,842950.30    ,1    ,
P2ULV5      ,1 ,0.42  ,1.73     ,0.35    ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,4.34     ,0.88     ,16345.60     ,1    ,
P2ULV6      ,1 ,0.42  ,1.64     ,0.33    ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,4.10     ,0.83     ,15460.71     ,1    ,
P2ULV7      ,1 ,0.42  ,2.49     ,0.82    ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,6.23     ,2.05     ,20786.32     ,1    ,
P2ULV8      ,1 ,0.42  ,4.81     ,0.98    ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,12.04    ,2.44     ,45369.14     ,3    ,
P2ULV9      ,1 ,0.42  ,2.27     ,0.46    ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,5.68     ,1.15     ,21395.27     ,1    ,
P2ULV10     ,1 ,0.42  ,3.83     ,0.78    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,9.59     ,1.95     ,36130.91     ,3    ,
P2ULV11     ,1 ,0.42  ,1.42     ,0.47    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,3.55     ,1.17     ,11840.02     ,1    ,
P2ULV12     ,1 ,0.42  ,1.61     ,0.33    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT8612  ,4.02     ,0.82     ,15137.51     ,1    ,
P2ULV13     ,1 ,0.42  ,3.54     ,0.72    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,8.84     ,1.80     ,33333.53     ,2    ,
P2ULV14     ,3 ,0.42  ,40.07    ,8.14    ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,100.17   ,20.34    ,365615.50    ,1    ,
P2ULV15     ,3 ,0.42  ,29.35    ,5.96    ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5979   ,73.38    ,14.90    ,326252.40    ,26   ,
P2ULV16     ,1 ,0.42  ,4.18     ,0.85    ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT10291  ,10.44    ,2.12     ,46425.17     ,3    ,
P2ULV17     ,1 ,0.42  ,11.82    ,2.40    ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5979   ,29.55    ,6.00     ,111378.70    ,9    ,
P2ULV18     ,1 ,0.42  ,4.90     ,1.00    ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT7299  ,12.26    ,2.49     ,46206.14     ,3    ,
P2ULV19     ,1 ,0.42  ,0.59     ,0.19    ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5467  ,1.47     ,0.48     ,4919.99      ,1    ,
P2ULV20     ,1 ,0.42  ,0.84     ,0.17    ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2387   ,2.09     ,0.42     ,9287.27      ,1    ,
P2ULV21     ,1 ,0.42  ,0.85     ,0.17    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT8610  ,2.14     ,0.43     ,8188.67      ,1    ,
P2ULV22     ,1 ,0.42  ,3.37     ,0.68    ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT7304  ,8.42     ,1.71     ,31729.88     ,2    ,
P2ULV23     ,1 ,0.42  ,2.54     ,0.83    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,6.34     ,2.08     ,21143.34     ,1    ,
P2ULV24     ,3 ,0.42  ,109.30   ,22.19   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT611    ,273.24   ,55.48    ,1214887.00   ,150  ,
P2ULV25     ,1 ,0.42  ,1.27     ,0.26    ,P2UHS10_1247 ,P2UHS10_1247 -> P2UDT10083 ,3.18     ,0.64     ,14120.16     ,1    ,
P2ULV26     ,1 ,0.42  ,3.81     ,0.77    ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT10319  ,9.53     ,1.94     ,42392.95     ,2    ,
P2ULV27     ,1 ,0.42  ,4.76     ,0.97    ,P2UHS9_1247  ,P2UHS9_1247 -> P2UDT12222  ,11.91    ,2.42     ,52936.59     ,3    ,
P2ULV28     ,1 ,0.42  ,2.40     ,0.49    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,5.99     ,1.22     ,22572.45     ,2    ,
P2ULV29     ,1 ,0.42  ,3.72     ,0.76    ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT7299  ,9.31     ,1.89     ,35085.85     ,3    ,
P2ULV30     ,3 ,0.42  ,101.61   ,20.63   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,254.02   ,51.58    ,977989.90    ,1    ,
P2ULV31     ,1 ,0.42  ,3.89     ,0.79    ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,9.74     ,1.98     ,36700.68     ,3    ,
P2ULV32     ,1 ,0.42  ,3.52     ,0.71    ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5467  ,8.79     ,1.78     ,33126.74     ,2    ,
P2ULV33     ,3 ,0.42  ,50.62    ,10.28   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5979   ,126.54   ,25.70    ,562627.10    ,59   ,
P2ULV34     ,1 ,0.42  ,2.76     ,0.56    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT8610  ,6.89     ,1.40     ,25979.21     ,2    ,
P2ULV35     ,1 ,0.42  ,3.39     ,1.12    ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,8.48     ,2.79     ,28302.33     ,1    ,
P2ULV36     ,1 ,0.42  ,5.11     ,1.68    ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5467  ,12.77    ,4.20     ,42591.69     ,1    ,
P2ULV37     ,1 ,0.42  ,1.81     ,0.37    ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT7299  ,4.53     ,0.92     ,17086.35     ,1    ,
P2ULV38     ,1 ,0.42  ,2.33     ,0.77    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,5.83     ,1.92     ,19443.68     ,1    ,
P2ULV39     ,1 ,0.42  ,1.67     ,0.34    ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT8612  ,4.17     ,0.85     ,15702.51     ,1    ,
P2ULV40     ,1 ,0.42  ,2.26     ,0.46    ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT9982   ,5.66     ,1.15     ,21342.63     ,1    ,
