Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P3RDT923  ,P3RC0  ,3 ,12.47 ,300.00 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
P3RDT287  ,P3RC1  ,3 ,12.47 ,300.00 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT999  ,
P3RDT230  ,P3RC2  ,3 ,12.47 ,300.00 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
P3RDT1029 ,P3RC3  ,3 ,12.47 ,300.00 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
P3RDT107  ,P3RC4  ,3 ,12.47 ,300.00 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
P3RDT667  ,P3RC5  ,3 ,12.47 ,300.00 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT831  ,
P3RDT910  ,P3RC6  ,3 ,12.47 ,300.00 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT999  ,
P3RDT1052 ,P3RC7  ,3 ,12.47 ,600.00 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
P3RDT1129 ,P3RC8  ,3 ,12.47 ,300.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1322 ,
P3RDT1591 ,P3RC9  ,3 ,12.47 ,300.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
P3RDT1643 ,P3RC10 ,3 ,12.47 ,300.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1194 ,
P3RDT1175 ,P3RC11 ,3 ,12.47 ,300.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1194 ,
P3RDT1584 ,P3RC12 ,3 ,12.47 ,600.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1584 ,
P3RDT1428 ,P3RC13 ,3 ,12.47 ,600.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1428 ,
P3RDT1322 ,P3RC14 ,3 ,12.47 ,600.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1322 ,
P3RDT1272 ,P3RC15 ,3 ,12.47 ,600.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
P3RDT1205 ,P3RC16 ,3 ,12.47 ,600.00 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1205 ,
